,z-nm,x-nm,y-nm,Trace_ID,chr,start,stop,color-channel,FOV_ID
28,3200.89835064028,46796.105185184155,20691.283365531755,3_129,chr3,34736078,34741078,647nm,0
29,,,,3_129,chr3,34741078,34746078,561nm,0
30,3362.986623937116,46932.55269354918,20701.991226434817,3_129,chr3,34746078,34751078,750nm,0
31,3369.2039470295003,46822.54147275715,20576.287371927177,3_129,chr3,34751078,34756078,647nm,0
32,3337.053014301628,46929.36616255104,20733.06113157811,3_129,chr3,34756078,34761078,561nm,0
33,3372.1240554215315,46904.85017498959,20786.48749118264,3_129,chr3,34761078,34766078,750nm,0
34,,,,3_129,chr3,34766078,34771078,647nm,0
35,,,,3_129,chr3,34771078,34776078,561nm,0
36,,,,3_129,chr3,34776078,34781078,750nm,0
37,3225.893707929783,46824.24327224608,20586.349355829396,3_129,chr3,34781078,34786078,647nm,0
38,3363.953705238976,46833.27250978271,20648.392331802643,3_129,chr3,34786078,34791078,561nm,0
39,3394.0692582706906,46920.89983048616,20731.226448206657,3_129,chr3,34791078,34796078,750nm,0
40,3373.005534114491,46832.956020303296,20634.490104858367,3_129,chr3,34796078,34801078,647nm,0
41,3319.9527311401266,46759.50125097033,20618.464210627586,3_129,chr3,34801078,34806078,561nm,0
42,,,,5_129,chr3,34601078,34606078,750nm,0
43,10874.09598901491,59606.78791982172,13251.199106508382,5_129,chr3,34606078,34611078,647nm,0
44,,,,5_129,chr3,34611078,34616078,561nm,0
45,,,,5_129,chr3,34616078,34621078,750nm,0
46,10263.82801540158,59192.030268482486,13383.507203337713,5_129,chr3,34621078,34626078,647nm,0
47,,,,5_129,chr3,34626078,34631078,561nm,0
48,,,,5_129,chr3,34631078,34636078,750nm,0
49,,,,5_129,chr3,34636078,34641078,647nm,0
50,,,,5_129,chr3,34641078,34646078,561nm,0
51,,,,5_129,chr3,34646078,34651078,750nm,0
52,,,,5_129,chr3,34651078,34656078,647nm,0
53,10464.648294924287,59317.79193439071,13367.81130995384,5_129,chr3,34656078,34661078,561nm,0
54,10525.999645198348,59327.882470345045,13420.521549318548,5_129,chr3,34661078,34666078,750nm,0
55,10559.487889293792,59148.13881990544,13504.514405877208,5_129,chr3,34666078,34671078,647nm,0
56,10530.309168860273,59184.149833222036,13476.581928236552,5_129,chr3,34671078,34676078,561nm,0
57,,,,5_129,chr3,34676078,34681078,750nm,0
58,10457.916788121327,59131.400763914375,13358.901697877416,5_129,chr3,34681078,34686078,647nm,0
59,10493.264408105568,59278.11621625457,13378.38609675157,5_129,chr3,34686078,34691078,561nm,0
60,10891.131593634715,59322.30414072243,13327.755250349685,5_129,chr3,34691078,34696078,750nm,0
61,,,,5_129,chr3,34696078,34701078,647nm,0
62,,,,5_129,chr3,34701078,34706078,561nm,0
63,,,,5_129,chr3,34706078,34711078,750nm,0
64,,,,5_129,chr3,34711078,34716078,647nm,0
65,,,,5_129,chr3,34716078,34721078,561nm,0
66,10696.132732926939,59391.714127667365,13408.751536064363,5_129,chr3,34721078,34726078,750nm,0
67,,,,5_129,chr3,34726078,34731078,647nm,0
68,,,,5_129,chr3,34726078,34726078,561nm,0
69,,,,5_129,chr3,34731078,34736078,750nm,0
70,,,,5_129,chr3,34736078,34741078,647nm,0
71,10758.434319744125,59454.86633012025,13313.463557981862,5_129,chr3,34741078,34746078,561nm,0
72,,,,5_129,chr3,34746078,34751078,750nm,0
73,10459.998994237818,59016.82125488919,13586.956319777768,5_129,chr3,34751078,34756078,647nm,0
74,10331.420686064519,59132.787506714856,13496.416082032356,5_129,chr3,34756078,34761078,561nm,0
75,10215.54117526616,59113.32817138047,13356.030107245693,5_129,chr3,34761078,34766078,750nm,0
76,10285.937222771283,59008.020276708325,13457.006811033609,5_129,chr3,34766078,34771078,647nm,0
77,10504.80906721605,59114.26485180825,13443.572837094172,5_129,chr3,34771078,34776078,561nm,0
78,10336.333533836443,59141.5394650716,13393.127433274243,5_129,chr3,34776078,34781078,750nm,0
79,,,,5_129,chr3,34781078,34786078,647nm,0
80,,,,5_129,chr3,34786078,34791078,561nm,0
81,10426.548987322534,59008.878890095235,13522.010261759824,5_129,chr3,34791078,34796078,750nm,0
82,10705.704047375286,59420.05583910764,13290.80994993566,5_129,chr3,34796078,34801078,647nm,0
83,10524.083001301165,59041.27847031842,13356.663682297394,5_129,chr3,34801078,34806078,561nm,0
84,6418.596769500157,85753.73222246513,16450.347149945344,6_129,chr3,34601078,34606078,750nm,0
85,6365.10520124603,85807.66750205995,16445.957815778023,6_129,chr3,34606078,34611078,647nm,0
86,,,,6_129,chr3,34611078,34616078,561nm,0
87,6246.8594883133865,85845.49106486827,16382.073349082913,6_129,chr3,34616078,34621078,750nm,0
88,6105.204823733707,85851.58209136134,16423.437506293274,6_129,chr3,34621078,34626078,647nm,0
89,6186.890207680437,85849.94133954025,16412.488135457486,6_129,chr3,34626078,34631078,561nm,0
90,,,,6_129,chr3,34631078,34636078,750nm,0
91,,,,6_129,chr3,34636078,34641078,647nm,0
92,,,,6_129,chr3,34641078,34646078,561nm,0
93,,,,6_129,chr3,34646078,34651078,750nm,0
94,5988.3758876235315,85805.92235160714,16088.500673277458,6_129,chr3,34651078,34656078,647nm,0
95,,,,6_129,chr3,34656078,34661078,561nm,0
96,6119.5567154285045,85651.2964513964,16000.786806434478,6_129,chr3,34661078,34666078,750nm,0
97,6024.642737503672,85633.81649392411,16007.88134987789,6_129,chr3,34666078,34671078,647nm,0
98,6057.003474477849,85657.36383772398,16039.767860756498,6_129,chr3,34671078,34676078,561nm,0
99,6114.401430847092,85712.87473386023,16033.546827561608,6_129,chr3,34676078,34681078,750nm,0
100,,,,6_129,chr3,34681078,34686078,647nm,0
101,6146.892495882942,85751.59852851307,15993.153328494262,6_129,chr3,34686078,34691078,561nm,0
102,6112.801294237994,85650.53175894154,16022.467835820322,6_129,chr3,34691078,34696078,750nm,0
103,,,,6_129,chr3,34696078,34701078,647nm,0
104,,,,6_129,chr3,34701078,34706078,561nm,0
105,6066.621396873618,85605.02925072865,16158.803967897762,6_129,chr3,34706078,34711078,750nm,0
106,,,,6_129,chr3,34711078,34716078,647nm,0
107,6141.918648347989,86379.76930887517,16672.679480262195,6_129,chr3,34716078,34721078,561nm,0
108,6147.194955301698,86337.0097089617,16602.94757420724,6_129,chr3,34721078,34726078,750nm,0
109,,,,6_129,chr3,34726078,34731078,647nm,0
110,6049.455181267803,85737.6600882936,16261.753014843594,6_129,chr3,34726078,34726078,561nm,0
111,6225.49738201625,85647.49091623114,16201.635362871959,6_129,chr3,34731078,34736078,750nm,0
112,6048.662836667693,85818.45519786028,16354.072393721928,6_129,chr3,34736078,34741078,647nm,0
113,6067.37743328671,85848.56106826974,16340.366470625555,6_129,chr3,34741078,34746078,561nm,0
114,6176.404860133782,85583.05517799483,16074.10069314837,6_129,chr3,34746078,34751078,750nm,0
115,,,,6_129,chr3,34751078,34756078,647nm,0
116,6215.323488058795,85691.08418314699,16070.431957996661,6_129,chr3,34756078,34761078,561nm,0
117,6127.82069744502,85830.23656912438,16211.497775173448,6_129,chr3,34761078,34766078,750nm,0
118,6252.8774258571275,85655.2933485598,16116.049397032486,6_129,chr3,34766078,34771078,647nm,0
119,6268.456856902523,85603.11172265306,16163.215504609829,6_129,chr3,34771078,34776078,561nm,0
120,6172.020166991941,85913.64199838263,16281.5562847929,6_129,chr3,34776078,34781078,750nm,0
121,6184.5620866807385,85963.5170599495,16327.014176725877,6_129,chr3,34781078,34786078,647nm,0
122,6193.115589289768,85548.4306325182,16187.004240262935,6_129,chr3,34786078,34791078,561nm,0
123,6052.362211225915,85852.33543777131,16306.048745289794,6_129,chr3,34791078,34796078,750nm,0
124,6350.6605795644045,85718.89614849529,16054.294935443831,6_129,chr3,34796078,34801078,647nm,0
125,6323.681098401319,85751.4170327376,16130.650316879412,6_129,chr3,34801078,34806078,561nm,0
126,,,,17_129,chr3,34601078,34606078,750nm,0
127,8511.448929785221,54235.4979876747,45335.38528219875,17_129,chr3,34606078,34611078,647nm,0
128,,,,17_129,chr3,34611078,34616078,561nm,0
129,,,,17_129,chr3,34616078,34621078,750nm,0
130,,,,17_129,chr3,34621078,34626078,647nm,0
131,,,,17_129,chr3,34626078,34631078,561nm,0
132,8621.321980063081,53524.375738445604,46623.20747433762,17_129,chr3,34631078,34636078,750nm,0
133,8227.25067948479,54217.18135923583,45397.966361344406,17_129,chr3,34636078,34641078,647nm,0
134,8332.103519540136,54274.63221379586,45245.68077971035,17_129,chr3,34641078,34646078,561nm,0
135,8473.726153153248,54308.76055570191,45461.275313715516,17_129,chr3,34646078,34651078,750nm,0
136,8439.649878455377,54273.0463073296,45518.519492762054,17_129,chr3,34651078,34656078,647nm,0
137,8671.04697434062,53490.1691308606,46370.09513357377,17_129,chr3,34656078,34661078,561nm,0
138,8367.941737206564,54221.36638848387,45436.61464543556,17_129,chr3,34661078,34666078,750nm,0
139,,,,17_129,chr3,34666078,34671078,647nm,0
140,,,,17_129,chr3,34671078,34676078,561nm,0
141,,,,17_129,chr3,34676078,34681078,750nm,0
142,8140.047194977582,54218.342724102615,45565.092240574944,17_129,chr3,34681078,34686078,647nm,0
143,8093.681967370708,54053.15817340932,45472.170294121715,17_129,chr3,34686078,34691078,561nm,0
144,8180.758772009141,54115.20637022954,45719.878772652395,17_129,chr3,34691078,34696078,750nm,0
145,8699.981940337468,54011.05986218559,46639.93951903985,17_129,chr3,34696078,34701078,647nm,0
146,8698.340872501576,54121.072926223846,46449.56884451994,17_129,chr3,34701078,34706078,561nm,0
147,8390.697469093717,53944.430923564134,45774.26629186466,17_129,chr3,34706078,34711078,750nm,0
148,,,,17_129,chr3,34711078,34716078,647nm,0
149,8232.539665629829,54287.4974701877,45018.78024240747,17_129,chr3,34716078,34721078,561nm,0
150,8191.758692912114,54286.33675410589,45057.903705174744,17_129,chr3,34721078,34726078,750nm,0
151,,,,17_129,chr3,34726078,34731078,647nm,0
152,,,,17_129,chr3,34726078,34726078,561nm,0
153,,,,17_129,chr3,34731078,34736078,750nm,0
154,8357.398933213823,53662.6540759957,45532.83857879109,17_129,chr3,34736078,34741078,647nm,0
155,8402.779730788894,54163.60944881192,45148.02343901649,17_129,chr3,34741078,34746078,561nm,0
156,8305.913669153077,54131.5319522515,45442.804072229555,17_129,chr3,34746078,34751078,750nm,0
157,8385.581090078136,54083.52216780316,45516.87208462439,17_129,chr3,34751078,34756078,647nm,0
158,,,,17_129,chr3,34756078,34761078,561nm,0
159,8912.294195716173,53892.12776589973,45613.54103818339,17_129,chr3,34761078,34766078,750nm,0
160,8801.634161277232,53771.02942172101,45724.19279353701,17_129,chr3,34766078,34771078,647nm,0
161,8310.96920670749,54221.4815140176,45669.255691266655,17_129,chr3,34771078,34776078,561nm,0
162,8565.634774829728,54279.16272614448,45818.08169259683,17_129,chr3,34776078,34781078,750nm,0
163,8416.640842535002,54139.5975910546,45593.386154511194,17_129,chr3,34781078,34786078,647nm,0
164,8621.334946395215,54000.90527932561,46124.22348150817,17_129,chr3,34786078,34791078,561nm,0
165,8193.44865995625,54062.358520963986,45924.67437646536,17_129,chr3,34791078,34796078,750nm,0
166,8223.862453948475,54153.72619868783,46048.05487527195,17_129,chr3,34796078,34801078,647nm,0
167,,,,17_129,chr3,34801078,34806078,561nm,0
168,,,,20_129,chr3,34601078,34606078,750nm,0
169,,,,20_129,chr3,34606078,34611078,647nm,0
170,,,,20_129,chr3,34611078,34616078,561nm,0
171,,,,20_129,chr3,34616078,34621078,750nm,0
172,,,,20_129,chr3,34621078,34626078,647nm,0
173,,,,20_129,chr3,34626078,34631078,561nm,0
174,8256.848289090616,29660.661755662364,52617.0723714746,20_129,chr3,34631078,34636078,750nm,0
175,8321.758328451964,29733.13500229206,52666.29002523744,20_129,chr3,34636078,34641078,647nm,0
176,8368.43007588443,29826.610097161003,52685.46320449047,20_129,chr3,34641078,34646078,561nm,0
177,,,,20_129,chr3,34646078,34651078,750nm,0
178,8323.830247085996,29803.69072040405,52602.943783033355,20_129,chr3,34651078,34656078,647nm,0
179,8259.659336549885,29761.9828263046,52616.63635729894,20_129,chr3,34656078,34661078,561nm,0
180,8293.021937367108,29825.944733585675,52619.383730295966,20_129,chr3,34661078,34666078,750nm,0
181,8482.976336010308,29819.912329913586,52696.93928743836,20_129,chr3,34666078,34671078,647nm,0
182,,,,20_129,chr3,34671078,34676078,561nm,0
183,8523.352924206276,29795.023590697627,52533.0770740145,20_129,chr3,34676078,34681078,750nm,0
184,8405.496125154947,29899.51626235028,52753.05143214158,20_129,chr3,34681078,34686078,647nm,0
185,,,,20_129,chr3,34686078,34691078,561nm,0
186,,,,20_129,chr3,34691078,34696078,750nm,0
187,8299.055040586696,29409.53339965114,52890.75212071314,20_129,chr3,34696078,34701078,647nm,0
188,,,,20_129,chr3,34701078,34706078,561nm,0
189,,,,20_129,chr3,34706078,34711078,750nm,0
190,,,,20_129,chr3,34711078,34716078,647nm,0
191,,,,20_129,chr3,34716078,34721078,561nm,0
192,,,,20_129,chr3,34721078,34726078,750nm,0
193,,,,20_129,chr3,34726078,34731078,647nm,0
194,8411.52470854215,29678.034087052965,52658.7653960369,20_129,chr3,34726078,34726078,561nm,0
195,8417.362357940456,29646.827877221895,52644.83215981465,20_129,chr3,34731078,34736078,750nm,0
196,8440.974674698422,29786.427787796136,52628.907059858415,20_129,chr3,34736078,34741078,647nm,0
197,8457.804629033368,29715.74844457335,52658.89132705865,20_129,chr3,34741078,34746078,561nm,0
198,,,,20_129,chr3,34746078,34751078,750nm,0
199,,,,20_129,chr3,34751078,34756078,647nm,0
200,,,,20_129,chr3,34756078,34761078,561nm,0
201,8518.94667312561,29816.262694028635,52822.93445870757,20_129,chr3,34761078,34766078,750nm,0
202,8460.834371707368,29652.501002143443,52716.06015940967,20_129,chr3,34766078,34771078,647nm,0
203,,,,20_129,chr3,34771078,34776078,561nm,0
204,8227.860317204091,29733.73700678286,52866.48701031001,20_129,chr3,34776078,34781078,750nm,0
205,8206.453925121108,29674.688311567428,52766.51049780083,20_129,chr3,34781078,34786078,647nm,0
206,8340.94315550067,29629.752554981915,52956.15269363555,20_129,chr3,34786078,34791078,561nm,0
207,8336.314168780544,29578.52155612429,52902.485765311365,20_129,chr3,34791078,34796078,750nm,0
208,,,,20_129,chr3,34796078,34801078,647nm,0
209,,,,20_129,chr3,34801078,34806078,561nm,0
210,,,,24_129,chr3,34601078,34606078,750nm,0
211,7148.950800088908,59521.41543804089,67986.0687986481,24_129,chr3,34606078,34611078,647nm,0
212,,,,24_129,chr3,34611078,34616078,561nm,0
213,7266.712122889611,59238.5285312354,68167.440192073,24_129,chr3,34616078,34621078,750nm,0
214,,,,24_129,chr3,34621078,34626078,647nm,0
215,,,,24_129,chr3,34626078,34631078,561nm,0
216,6920.109696800942,59336.70623038023,68076.93386461996,24_129,chr3,34631078,34636078,750nm,0
217,7186.943748562837,59389.364561062954,67905.6231608667,24_129,chr3,34636078,34641078,647nm,0
218,7042.169189273205,59267.79145905382,68078.2412742065,24_129,chr3,34641078,34646078,561nm,0
219,7048.091707549529,59272.97106952377,68047.54318053018,24_129,chr3,34646078,34651078,750nm,0
220,,,,24_129,chr3,34651078,34656078,647nm,0
221,6868.0020939984925,59319.30881257325,68075.75834367804,24_129,chr3,34656078,34661078,561nm,0
222,6825.314622079612,59352.31696115024,68114.33164373663,24_129,chr3,34661078,34666078,750nm,0
223,,,,24_129,chr3,34666078,34671078,647nm,0
224,,,,24_129,chr3,34671078,34676078,561nm,0
225,,,,24_129,chr3,34676078,34681078,750nm,0
226,7094.423899068337,59649.468229423415,67803.74399807933,24_129,chr3,34681078,34686078,647nm,0
227,7042.27957763643,59471.54945647978,67996.59854196222,24_129,chr3,34686078,34691078,561nm,0
228,6976.228660619881,59528.03536273663,67912.7377700927,24_129,chr3,34691078,34696078,750nm,0
229,6604.868056908105,58674.88581591647,68609.36033906559,24_129,chr3,34696078,34701078,647nm,0
230,7026.200436175169,59487.96176503172,68010.5005225212,24_129,chr3,34701078,34706078,561nm,0
231,,,,24_129,chr3,34706078,34711078,750nm,0
232,,,,24_129,chr3,34711078,34716078,647nm,0
233,,,,24_129,chr3,34716078,34721078,561nm,0
234,,,,24_129,chr3,34721078,34726078,750nm,0
235,,,,24_129,chr3,34726078,34731078,647nm,0
236,,,,24_129,chr3,34726078,34726078,561nm,0
237,,,,24_129,chr3,34731078,34736078,750nm,0
238,,,,24_129,chr3,34736078,34741078,647nm,0
239,,,,24_129,chr3,34741078,34746078,561nm,0
240,,,,24_129,chr3,34746078,34751078,750nm,0
241,,,,24_129,chr3,34751078,34756078,647nm,0
242,7133.431215314463,59207.56289318297,68029.29930337066,24_129,chr3,34756078,34761078,561nm,0
243,7102.294296442344,59309.17523498778,68005.44207805955,24_129,chr3,34761078,34766078,750nm,0
244,7176.0805876898585,59298.41082136833,68089.74075499328,24_129,chr3,34766078,34771078,647nm,0
245,,,,24_129,chr3,34771078,34776078,561nm,0
246,7063.981261244397,59248.90634802356,68043.36411927949,24_129,chr3,34776078,34781078,750nm,0
247,,,,24_129,chr3,34781078,34786078,647nm,0
248,7141.437998383901,59086.07945265297,68283.04647624497,24_129,chr3,34786078,34791078,561nm,0
249,7135.294980082563,59167.03204726172,68263.46643425323,24_129,chr3,34791078,34796078,750nm,0
250,,,,24_129,chr3,34796078,34801078,647nm,0
251,,,,24_129,chr3,34801078,34806078,561nm,0
252,,,,31_129,chr3,34601078,34606078,750nm,0
253,,,,31_129,chr3,34606078,34611078,647nm,0
254,,,,31_129,chr3,34611078,34616078,561nm,0
255,,,,31_129,chr3,34616078,34621078,750nm,0
256,7581.8603318837495,50580.641821924604,67122.50082291085,31_129,chr3,34621078,34626078,647nm,0
257,,,,31_129,chr3,34626078,34631078,561nm,0
258,7469.754671570435,50835.69191182572,67116.94784495607,31_129,chr3,34631078,34636078,750nm,0
259,,,,31_129,chr3,34636078,34641078,647nm,0
260,7438.808478042805,50617.81213380986,67066.87504335571,31_129,chr3,34641078,34646078,561nm,0
261,7541.524621841856,50656.36386882917,67039.30446493905,31_129,chr3,34646078,34651078,750nm,0
262,7395.016874432315,50846.01242610521,66837.40434144177,31_129,chr3,34651078,34656078,647nm,0
263,7425.500589397489,50885.23976586513,66945.57967600398,31_129,chr3,34656078,34661078,561nm,0
264,7445.803750204883,50693.55767138259,66896.8991040229,31_129,chr3,34661078,34666078,750nm,0
265,7490.234180588256,50533.34375315283,67005.53163675353,31_129,chr3,34666078,34671078,647nm,0
266,,,,31_129,chr3,34671078,34676078,561nm,0
267,7451.5590230643,51118.95203667618,66627.4887547661,31_129,chr3,34676078,34681078,750nm,0
268,7365.189155256385,51024.06615130608,66664.6839274142,31_129,chr3,34681078,34686078,647nm,0
269,7480.375292427466,50767.77762385989,67041.71908530919,31_129,chr3,34686078,34691078,561nm,0
270,7217.274157730837,51056.014652371516,67006.9211419845,31_129,chr3,34691078,34696078,750nm,0
271,7297.97360220988,50927.55907017422,67138.47100111542,31_129,chr3,34696078,34701078,647nm,0
272,7441.821394904252,50656.59249750252,67176.31219228609,31_129,chr3,34701078,34706078,561nm,0
273,7477.251413573377,50859.86999851741,67062.94283640447,31_129,chr3,34706078,34711078,750nm,0
274,,,,31_129,chr3,34711078,34716078,647nm,0
275,,,,31_129,chr3,34716078,34721078,561nm,0
276,,,,31_129,chr3,34721078,34726078,750nm,0
277,,,,31_129,chr3,34726078,34731078,647nm,0
278,7446.889481192004,50996.10941190077,66814.0420199536,31_129,chr3,34726078,34726078,561nm,0
279,7351.7868412380085,51196.086762394014,66774.55117856612,31_129,chr3,34731078,34736078,750nm,0
280,,,,31_129,chr3,34736078,34741078,647nm,0
281,7272.044243742483,50994.856647880384,66865.22854428685,31_129,chr3,34741078,34746078,561nm,0
282,7339.163723797488,50668.11267515896,66940.04834764946,31_129,chr3,34746078,34751078,750nm,0
283,,,,31_129,chr3,34751078,34756078,647nm,0
284,,,,31_129,chr3,34756078,34761078,561nm,0
285,7387.229899688541,50657.73037398189,67102.84393981795,31_129,chr3,34761078,34766078,750nm,0
286,,,,31_129,chr3,34766078,34771078,647nm,0
287,7360.807984148079,50986.617863017396,66880.78091262962,31_129,chr3,34771078,34776078,561nm,0
288,7423.24199422752,50730.91036801636,67031.50813870796,31_129,chr3,34776078,34781078,750nm,0
289,7343.078120841573,50974.25053103168,67012.47198145108,31_129,chr3,34781078,34786078,647nm,0
290,,,,31_129,chr3,34786078,34791078,561nm,0
291,7399.513060548512,50806.00473544555,67071.38884991068,31_129,chr3,34791078,34796078,750nm,0
292,7392.89519864242,51019.132190141274,67009.47376273829,31_129,chr3,34796078,34801078,647nm,0
293,,,,31_129,chr3,34801078,34806078,561nm,0
294,,,,40_129,chr3,34601078,34606078,750nm,0
295,,,,40_129,chr3,34606078,34611078,647nm,0
296,,,,40_129,chr3,34611078,34616078,561nm,0
297,,,,40_129,chr3,34616078,34621078,750nm,0
298,1978.10522870869,168139.288979623,83301.62086657633,40_129,chr3,34621078,34626078,647nm,0
299,,,,40_129,chr3,34626078,34631078,561nm,0
300,,,,40_129,chr3,34631078,34636078,750nm,0
301,2011.019999634282,168190.65535287466,83210.62823025897,40_129,chr3,34636078,34641078,647nm,0
302,1982.4504667164945,168105.88744017234,83283.16600088253,40_129,chr3,34641078,34646078,561nm,0
303,1965.7660985897257,167885.76450568342,83319.79348386289,40_129,chr3,34646078,34651078,750nm,0
304,1916.5677623113143,167907.52468243762,83267.0221686584,40_129,chr3,34651078,34656078,647nm,0
305,1933.5791552438075,168006.96642151376,83338.93500198777,40_129,chr3,34656078,34661078,561nm,0
306,1918.6248721513375,167928.0774576664,83427.61935781557,40_129,chr3,34661078,34666078,750nm,0
307,1884.9474587667078,167936.41095402252,83378.71150036916,40_129,chr3,34666078,34671078,647nm,0
308,1950.5799045221036,167943.7394617783,83274.43617467258,40_129,chr3,34671078,34676078,561nm,0
309,1951.3525431051924,167964.33257163272,83414.95067977645,40_129,chr3,34676078,34681078,750nm,0
310,1916.754916557588,167980.62965902124,83352.95910192365,40_129,chr3,34681078,34686078,647nm,0
311,1903.3355133075022,167986.6040174184,83287.27961493388,40_129,chr3,34686078,34691078,561nm,0
312,,,,40_129,chr3,34691078,34696078,750nm,0
313,,,,40_129,chr3,34696078,34701078,647nm,0
314,1714.7200422275798,168073.15417465966,83411.60709192243,40_129,chr3,34701078,34706078,561nm,0
315,,,,40_129,chr3,34706078,34711078,750nm,0
316,1572.7645115278651,168196.96363146164,83462.50539581105,40_129,chr3,34711078,34716078,647nm,0
317,1736.7765724875621,168049.00732452213,83255.19069207739,40_129,chr3,34716078,34721078,561nm,0
318,1822.1051386759732,168052.4511799745,83155.97187913152,40_129,chr3,34721078,34726078,750nm,0
319,,,,40_129,chr3,34726078,34731078,647nm,0
320,,,,40_129,chr3,34726078,34726078,561nm,0
321,1758.674494372269,168084.735150307,83141.965158626,40_129,chr3,34731078,34736078,750nm,0
322,,,,40_129,chr3,34736078,34741078,647nm,0
323,1628.3048263313024,168053.52859462873,83337.65985409178,40_129,chr3,34741078,34746078,561nm,0
324,2034.1586033878275,168003.98457887254,83138.32161970611,40_129,chr3,34746078,34751078,750nm,0
325,1646.295901533923,168026.89666610182,83332.69151996718,40_129,chr3,34751078,34756078,647nm,0
326,1784.9005924716319,167942.90210873258,83081.9593912229,40_129,chr3,34756078,34761078,561nm,0
327,1837.6171651109596,167932.28326531348,83199.99066866546,40_129,chr3,34761078,34766078,750nm,0
328,1781.0142642515284,167828.4742093822,83200.03063616792,40_129,chr3,34766078,34771078,647nm,0
329,1926.3026175256857,167944.50104369104,83142.81631945308,40_129,chr3,34771078,34776078,561nm,0
330,1884.4034881616294,168056.92849798384,83199.78375542354,40_129,chr3,34776078,34781078,750nm,0
331,1837.8939661871061,167969.71553352012,82899.95451545663,40_129,chr3,34781078,34786078,647nm,0
332,,,,40_129,chr3,34786078,34791078,561nm,0
333,1887.5892109904667,167931.30963174195,82904.95453175942,40_129,chr3,34791078,34796078,750nm,0
334,2410.5155622380844,167645.51459730606,82708.71065899612,40_129,chr3,34796078,34801078,647nm,0
335,2394.9298808834264,167715.78367863392,82701.78445294095,40_129,chr3,34801078,34806078,561nm,0
336,3008.1715435870287,116591.2179309324,87995.01557109968,42_129,chr3,34601078,34606078,750nm,0
337,2985.2972252136656,116796.29281614497,87487.89901357303,42_129,chr3,34606078,34611078,647nm,0
338,,,,42_129,chr3,34611078,34616078,561nm,0
339,2916.857948677958,116531.49979066056,88175.43129040257,42_129,chr3,34616078,34621078,750nm,0
340,2809.6661842439844,116457.8450903669,88232.41750635298,42_129,chr3,34621078,34626078,647nm,0
341,2934.9951582164113,116340.09260915683,88064.5581384855,42_129,chr3,34626078,34631078,561nm,0
342,2998.8671121355555,116485.20204369286,88226.86377292572,42_129,chr3,34631078,34636078,750nm,0
343,2846.8223646304637,116476.22792636871,88050.79624402379,42_129,chr3,34636078,34641078,647nm,0
344,2911.554893635564,116452.63818901073,87818.68617938225,42_129,chr3,34641078,34646078,561nm,0
345,2954.945230834051,116480.7006842988,88263.33980169187,42_129,chr3,34646078,34651078,750nm,0
346,2828.820812931625,116435.80951977402,87889.36879001287,42_129,chr3,34651078,34656078,647nm,0
